CASENAME,COMN,Similarity,token_sort_ratio
Airgas,AIRGAS INC,1,1
"Airgas, Inc.",AIRGAS INC,1,1
Albemarle Corporation,ALBEMARLE CORP,1,1
Albertson's INc.,ALBERTSON'S INC,1,1
Albertson's Inc,ALBERTSON'S INC,1,1
Albertson's Inc.,ALBERTSON'S INC,1,1
Albertson's LLC,ALBERTSON'S INC,1,1
Albertson's LLC.,ALBERTSON'S INC,1,1
"Albertson's, Inc.",ALBERTSON'S INC,1,1
"Albertson's, LLC",ALBERTSON'S INC,1,1
Albertsons,ALBERTSON'S INC,1,1
Albertsons LLC,ALBERTSON'S INC,1,1
"Albertsons, Inc.",ALBERTSON'S INC,1,1
Alcoa Inc.,ALCOA CORP,1,1
Allegheny Energy Services Corp,ALLEGHENY ENERGY INC,1,1
Allegheny Energy Services Corporation,ALLEGHENY ENERGY INC,1,1
"Allied Waste Industries, L.L.C",ALLIED WASTE INDUSTRIES INC,1,1
"Alltel Pennsylvania, Inc.",ALLTEL PENNSYLVANIA INC,1,1
"Alltel, Inc.",ALLTEL CORP,1,1
"Altron, Inc.",ALTRON INC,1,1
Amcon Distributing,AMCON DISTRIBUTING CO,1,1
"Ameresco, Inc.",AMERESCO INC,1,1
American Banknote,AMERICAN BANKNOTE CORP,1,1
American Buildings Company,AMERICAN BUILDINGS CO,1,1
American Electric Power,AMERICAN ELECTRIC POWER CO,1,1
American Medical Response,AMERICAN MEDICAL RESPONSE,1,1
"American Medical Response, Inc",AMERICAN MEDICAL RESPONSE,1,1
"American Medical Response, Inc.",AMERICAN MEDICAL RESPONSE,1,1
"American Phoenix, Inc.",PHOENIX AMERICAN INC,1,1
"American Water Works Service Company, Inc.",AMERICAN WATER WORKS CO INC,1,1
American Woodmark Corp.,AMERICAN WOODMARK CORP,1,1
Americold,AMERICOLD CORP,1,1
Americold LLC,AMERICOLD CORP,1,1
Ameron International,AMERON INTERNATIONAL CORP,1,1
"Ametek, Inc.",AMETEK INC,1,1
"Analog Devices, Inc.",ANALOG DEVICES,1,1
Analysts International,ANALYSTS INTERNATIONAL CORP,1,1
"Anderson, Greenwood & Co.",ANDERSON GREENWOOD & CO,1,1
"Apex Limited, Inc.",APEX CORP,1,1
Appalachian Power Company,APPALACHIAN POWER,1,1
"Apria HealthCare Group, Inc.",APRIA HEALTHCARE GROUP INC,1,1
"Apria Healthcare Group, Inc.",APRIA HEALTHCARE GROUP INC,1,1
Aqua-Chem,AQUA-CHEM INC,1,1
"Aquila, Inc.",AQUILA INC,1,1
Aramark,ARAMARK,1,1
Aramark Corp.,ARAMARK,1,1
Aramark Corporation,ARAMARK,1,1
"Aramark Services, Inc.",ARAMARK,1,1
"Aramark, Inc.",ARAMARK,1,1
Arch Chemicals,ARCH CHEMICALS INC,1,1
Argus Services,ARGUS INC,1,1
"Argus Services, Inc.",ARGUS INC,1,1
Arizona Public Service Company,ARIZONA PUBLIC SERVICE CO,1,1
Arizona Public Services,ARIZONA PUBLIC SERVICE CO,1,1
"Arrow International, Inc.",ARROW INTERNATIONAL INC,1,1
Arundel Corp,ARUNDEL CORP,1,1
Associated Grocers,ASSOCIATED GROCERS INC,1,1
"Associated Wholesalers, Inc.",ASSOCIATED WHOLESALERS INC,1,1
Atalanta,ATALANTA CORP,1,1
Atlantic City Electric Company,ATLANTIC CITY ELECTRIC CO,1,1
Atlantic Express,ATLANTIC EXPRESS,1,1
Atlantic Research Corporation,ATLANTIC RESEARCH CORP,1,1
Atmos Energy,ATMOS ENERGY CORP,1,1
Atmos Energy Corporation,ATMOS ENERGY CORP,1,1
"AvalonBay Communities, Inc.",AVALONBAY COMMUNITIES INC,1,1
"Aviall Services, Inc.",AVIALL INC,1,1
Avis Budget Group Inc.,AVIS BUDGET GROUP INC,1,1
"Avis Budget Group, Inc.",AVIS BUDGET GROUP INC,1,1
Avista Corporation,AVISTA CORP,1,1
Axalta Coating Systems,AXALTA COATING SYSTEMS LTD,1,1
"Axalta Coating Systems, LLC",AXALTA COATING SYSTEMS LTD,1,1
Axiall Corporation,AXIALL CORP,1,1
B.J.'S WHOLESALE CLUB,BJ'S WHOLESALE CLUB INC,1,1
"B.J.'S WHOLESALE CLUB, INC.",BJ'S WHOLESALE CLUB INC,1,1
BADGER DAYLIGHTING CORP.,BADGER DAYLIGHTING LTD,1,1
BAE Systems,BAE SYSTEMS PLC,1,1
BAILEY CORP.,BAILEY CORP,1,1
BAIRD CORP,BAIRD CORP,1,1
BALDOR ELECTRIC CO,BALDOR ELECTRIC CO,1,1
BALDOR ELECTRIC COMPANY,BALDOR ELECTRIC CO,1,1
BALDWIN PIANO & ORGAN CO,BALDWIN PIANO & ORGAN CO,1,1
BALL CORP.,BALL CORP,1,1
BALL CORPORATION,BALL CORP,1,1
"BALLY'S GRAND, INC.",BALLY'S GRAND INC,1,1
